animal_type,animal_breed,intake_type,outcome,intake_day,intake_month,intake_season,intake_is_weekend
DOGS,LABRADOR RETR,OWNER SUR,LIVE,THURSDAY,MARCH,SPRING,False
DOGS,WELSH CORGI CAR,OWNER DIED,LIVE,MONDAY,MARCH,SPRING,False
DOGS,CHIHUAHUA SH,OWNER SUR,LIVE,FRIDAY,AUGUST,SUMMER,False
DOGS,CHIHUAHUA SH,OWNER SUR,LIVE,WEDNESDAY,FEBRUARY,WINTER,False
DOGS,SIBERIAN HUSKY,STRAY,LIVE,THURSDAY,NOVEMBER,FALL,False
DOGS,SIBERIAN HUSKY,STRAY,LIVE,SUNDAY,FEBRUARY,WINTER,True
DOGS,SIBERIAN HUSKY,STRAY,LIVE,MONDAY,APRIL,SPRING,False
DOGS,SIBERIAN HUSKY,OWNER SUR,LIVE,FRIDAY,JANUARY,WINTER,False
CATS,DOMESTIC SH,TRANS_INT,LIVE,TUESDAY,OCTOBER,FALL,False
CATS,DOMESTIC SH,OWNER SUR,LIVE,THURSDAY,APRIL,SPRING,False
CATS,DOMESTIC SH,OWNER SUR,LIVE,THURSDAY,APRIL,SPRING,False
DOGS,GOLDEN RETR,STRAY,NONLIVE,MONDAY,MAY,SPRING,False
DOGS,PIT BULL,STRAY,LIVE,SATURDAY,JULY,SUMMER,True
DOGS,PIT BULL,STRAY,LIVE,MONDAY,NOVEMBER,FALL,False
DOGS,PIT BULL,STRAY,LIVE,TUESDAY,FEBRUARY,WINTER,False
CATS,DOMESTIC SH,OWNER SUR,LIVE,FRIDAY,APRIL,SPRING,False
CATS,DOMESTIC MH,TRANS_INT,LIVE,TUESDAY,FEBRUARY,WINTER,False
DOGS,TERRIER,OWNER SUR,LIVE,FRIDAY,AUGUST,SUMMER,False
DOGS,DACHSHUND,TRANS_INT,LIVE,SATURDAY,NOVEMBER,FALL,True
DOGS,GERM SHEPHERD,TRANSFER,LIVE,WEDNESDAY,FEBRUARY,WINTER,False
DOGS,GERM SHEPHERD,STRAY,LIVE,FRIDAY,NOVEMBER,FALL,False
DOGS,MALTESE,STRAY,NONLIVE,MONDAY,APRIL,SPRING,False
DOGS,PIT BULL,TRANSFER,LIVE,FRIDAY,AUGUST,SUMMER,False
DOGS,PIT BULL,TRANSFER,LIVE,FRIDAY,DECEMBER,WINTER,False
DOGS,PIT BULL,RETURN,LIVE,SUNDAY,DECEMBER,WINTER,True
DOGS,AUST CATTLE DOG,STRAY,LIVE,THURSDAY,FEBRUARY,WINTER,False
CATS,DOMESTIC SH,OWNER SUR,LIVE,MONDAY,APRIL,SPRING,False
CATS,DOMESTIC SH,OWNER SUR,LIVE,MONDAY,APRIL,SPRING,False
DOGS,SHIBA INU,STRAY,LIVE,WEDNESDAY,FEBRUARY,WINTER,False
DOGS,GERM SHEPHERD,OWNER SUR,LIVE,THURSDAY,AUGUST,SUMMER,False
DOGS,SIBERIAN HUSKY,STRAY,LIVE,FRIDAY,JULY,SUMMER,False
DOGS,SIBERIAN HUSKY,STRAY,LIVE,SATURDAY,JULY,SUMMER,True
DOGS,PIT BULL,TRANSFER,LIVE,FRIDAY,OCTOBER,FALL,False
DOGS,PIT BULL,TRANSFER,NONLIVE,FRIDAY,OCTOBER,FALL,False
DOGS,SIBERIAN HUSKY,OWNER SUR,LIVE,WEDNESDAY,DECEMBER,WINTER,False
DOGS,SIBERIAN HUSKY,RETURN,LIVE,THURSDAY,MAY,SPRING,False
DOGS,GERM SHEPHERD,TRANSFER,LIVE,FRIDAY,MAY,SPRING,False
DOGS,GERM SHEPHERD,OWNER SUR,LIVE,TUESDAY,JUNE,SUMMER,False
DOGS,GERM SHEPHERD,OWNER SUR,LIVE,MONDAY,MARCH,SPRING,False
DOGS,GERM SHEPHERD,RETURN,LIVE,WEDNESDAY,MARCH,SPRING,False
